Name,Symmetry (generic),Symmetry (specific),HOMO ren (output),LUMO ren (output),Gap ren (output),Nat,Gap_B3LYP,Gap_PBE,avgoccupied(eV-1),avgempty(eV-1),deg HOMO,deg LUMO,ElecEigvalMean,ElecEigvalVariance,ElecEigvalSkewness,ElecEigvalKurtosis,HOMO-(HOMO-1),HOMO-(HOMO-2),HOMO-(HOMO-3),HOMO-(HOMO-4),HOMO-(HOMO-5),HOMO-(HOMO-6),(LUMO+1)-LUMO,(LUMO+2)-LUMO,(LUMO+3)-LUMO,(LUMO+4)-LUMO,(LUMO+5)-LUMO,(LUMO+6)-LUMO,inv(HOMO-(HOMO-1)),inv(HOMO-(HOMO-2)),inv(HOMO-(HOMO-3)),inv(HOMO-(HOMO-4)),inv(HOMO-(HOMO-5)),inv(HOMO-(HOMO-6)),inv((LUMO+1)-LUMO),inv((LUMO+2)-LUMO),inv((LUMO+3)-LUMO),inv((LUMO+4)-LUMO),inv((LUMO+5)-LUMO),inv((LUMO+6)-LUMO),inv(LUMO-(HOMO-1)),inv(LUMO-(HOMO-2)),inv((LUMO+1)-HOMO),inv((LUMO+2)-HOMO),num hexagons,Volume,Area,Area/volume ratio,1stPhFreq,LastPhFreq,PhFreqMean,PhFreqVariance,PhFreqSkewness,PhFreqKurtosis,bond_length_angstrom_average,bond_length_angstrom_standard_deviation,bond_length_skewness,bond_length_excess_Kurtosis,bond_length_1st_lowest_value,bond_length_2nd_lowest_value,bond_length_3rd_lowest_value,bond_length_4th_lowest_value,bond_length_4th_highest_value,bond_length_3rd_highest_value,bond_length_2nd_highest_value,bond_length_1st_highest_value,average_NM3_bond_order,standard_deviation_NM3_bond_order,skewness_NM3_bond_order,excess_Kurtosis_NM3_bond_order,Nbond_with_order_till_1p1_eq_nonhybridized,Nbond_with_order_till_1p2,Nbond_with_order_till_1p3,Nbond_with_order_till_1p4,Nbond_with_order_till_1p5,Nbond_with_order_over_1p5,Nbond_hybridized,ratio_bonds_with_order_till_1p1_eq_nonhybridized,ratio_bonds_with_order_till_1p2,ratio_bonds_with_order_till_1p3,ratio_bonds_with_order_till_1p4,ratio_bonds_with_order_till_1p5,ratio_bonds_with_order_over_1p5,ratio_bonds_hybridized,1st_lowest_value_NM3_bond_order,2nd_lowest_value_NM3_bond_order,3rd_lowest_value_NM3_bond_order,4th_lowest_value_NM3_bond_order,4th_highest_value_NM3_bond_order,3rd_highest_value_NM3_bond_order,2nd_highest_value_NM3_bond_order,1st_highest_value_NM3_bond_order
C30-C2v-2,C,C2v,65.7,-74.57,-140.27,30,2200.9,1206.9,-0.492673778,0.6755436368,1,1,-7.81601943,28.1222,-0.5304,2.2103,0.081985679,0.231854243,0.635238408,0.646632168,1.015104999,2.16040995,0.15780105,0.792910647,1.736503996,1.772406491,2.170026528,2.223356608,12.1972521567,4.3130545599,1.5742121185,1.5464742546,0.9851197669,0.4628751131,6.3370934477,1.2611761537,0.5758696797,0.5642046591,0.4608238596,0.4497704041,0.7758640012,0.6950457348,0.7327612154,0.5000473427,5,0.046149071,0.067375817,1.4599604183,346.6955,1557.798,886.6271,125956.139,0.248,1.7174,1.44180444,0.04053389,0.38127334,-1.321695,1.3871,1.3871,1.3925,1.3925,1.507,1.507,1.507,1.507,1.250655556,0.123223475,-0.299207863,-1.080599875,10,4,11,16,4,0,35,0.222222222,0.088888889,0.244444444,0.355555556,0.088888889,0,0.777777778,1.0504,1.0504,1.0504,1.0504,1.4518,1.4518,1.4518,1.4518
C32-C2-4,C,C2 ,12.41,-51.53,-63.94,32,1959.4,967.4,-0.2613665117,0.5422914329,1,1,-7.984491137,27.9724,-0.5292,2.1963,0.502109191,0.560578083,0.761951722,0.826202116,1.2788149,1.335474891,0.246475813,0.980452887,1.747674222,2.127922492,2.130566907,2.26322624,1.991598676,1.7838728097,1.3124191089,1.2103575876,0.781973998,0.7487973055,4.0571932306,1.0199368203,0.5721890198,0.4699419287,0.4693586466,0.4418471217,0.6804993165,0.6544596491,0.823807501,0.5133857935,6,0.051883231,0.072585162,1.3990100578,337.6895,1572.083,891.3063,130015.414,0.2697,1.782,1.44028333,0.04017689,-0.0214071,-1.0725097,1.3723,1.3723,1.3751,1.3798,1.4857,1.5081,1.5146,1.5146,1.25419375,0.128129307,0.134505777,-0.909326461,7,10,14,9,8,0,41,0.145833333,0.208333333,0.291666667,0.1875,0.166666667,0,0.854166667,1.0349,1.0349,1.0539,1.0666,1.4462,1.4462,1.4977,1.4977
C32-D3-6,D,D3,48.26,-56.33,-104.59,32,2535.8,1488.5,-0.3235209831,0.4793300662,1,1,-7.618546802,27.8895,-0.5317,2.1886,0.016859018,0.281257088,0.28223278,0.616796239,0.850404358,0.851281081,0.54830578,0.549733455,1.707820133,1.708976478,2.184368167,2.520836667,0,3.5554659515,3.5431745384,1.6212809624,1.1759111893,1.1747001341,1.8237998512,1.8190633859,0.5855417562,0.585145561,0.4577982847,0.3966936903,0.66429336,0.5650492979,0.4909648283,0.4906209333,6,0.052398122,0.072726294,1.387956118,347.897,1551.28,898.4881,129536.072,0.2701,1.7809,1.43915625,0.03839657,0.0372381,-0.4740609,1.3711,1.3712,1.3712,1.3712,1.505,1.505,1.5051,1.5052,1.255702083,0.132556663,0.336162056,-0.524709294,9,6,15,12,0,6,39,0.1875,0.125,0.3125,0.25,0,0.125,0.8125,1.0616,1.0617,1.0617,1.0617,1.507,1.507,1.5072,1.5072
C32-D3h-5,D,D3h,16.6,-59.3,-75.9,32,2541.5,1375.6,-0.263741866,0.5213130569,2,2,-7.814742773,28.004,-0.5229,2.191,0,0.469530331,0.495831284,0.497554681,1.320817158,1.531419611,0,0.286757267,1.282895755,1.584237383,1.58546985,1.718289394,0,2.1297878624,2.0168150584,2.0098293478,0.7571070636,0.6529888953,0,3.4872699495,0.7794865609,0.631218535,0.6307278565,0.5819741445,0.7261120933,0.5419671354,0.7266345366,0.6015554056,6,0.05159573,0.072355083,1.4023463376,330.9557,1604.506,877.8356,135209.951,0.4304,2.0937,1.44395625,0.05000512,-0.0711065,-0.3219869,1.3496,1.35,1.3502,1.3858,1.4777,1.5523,1.5527,1.5527,1.256739583,0.147383326,0.035955873,-0.520880723,15,0,18,12,0,3,33,0.3125,0,0.375,0.25,0,0.0625,0.6875,0.9892,0.9892,0.9895,1.0908,1.3871,1.5679,1.5686,1.5697
C34-C2-5,C,C2,-14.6,-29.3,-14.7,34,1420.6,520.3,-0.2062766254,0.4503589633,1,1,-8.366940837,27.8783,-0.5193,2.1866,0.823555955,0.924984753,1.312788152,1.420498435,1.500466416,1.832999538,0.44520465,0.843284582,1.933583801,1.983854527,2.381937129,2.4035377,1.2142465778,1.0810989011,0.7617375267,0.7039782483,0.6664594351,0.5455538745,2.2461580309,1.1858393019,0.5171743782,0.504069218,0.4198263623,0.4160533866,0.7441273719,0.691905175,1.0357277927,0.7333611814,7,0.058105725,0.077884034,1.3403848588,239.3033,1535.858,891.1595,130794.3663,0.1959,1.7359,1.43841176,0.03456315,0.1991264,-0.7203622,1.3747,1.3747,1.3867,1.3867,1.4998,1.4998,1.5038,1.5038,1.25417451,0.120559398,0.12411397,-0.818987543,6,12,16,12,5,0,45,0.117647059,0.235294118,0.31372549,0.235294118,0.098039216,0,0.882352941,1.0484,1.0484,1.0657,1.0657,1.4163,1.4957,1.4957,1.4991
C36-C2-12,C,C2,2.167,-20.38,-22.547,36,1341.7,421.6,-0.2303830935,0.4277169818,1,1,-8.384020627,27.8121,-0.5114,2.177,0.298642164,1.109723873,1.215059738,1.787844886,1.794048518,1.841335222,0.56895803,0.764039748,1.93448931,2.06719442,2.344874146,2.452571663,3.3484889963,0.9011250675,0.8230048027,0.55933264,0.5573985263,0.5430841642,1.7575988865,1.30883243,0.5169322957,0.4837474358,0.4264621202,0.4077352826,1.3884219086,0.65302972,1.0095319706,0.8434265144,8,0.063870393,0.083038016,1.3001018484,237.8839,1558.654,889.0873,134006.3088,0.1934,1.7691,1.43800556,0.03546025,-0.1933826,-0.5973502,1.3666,1.3666,1.3793,1.3793,1.4932,1.4932,1.5099,1.5099,1.257103704,0.133210607,0.344034048,-0.776027197,5,18,10,13,6,2,49,0.092592593,0.333333333,0.185185185,0.240740741,0.111111111,0.037037037,0.907407407,1.0336,1.0336,1.0618,1.0618,1.4895,1.4895,1.5296,1.5296
C36-D2-2,D,D2 ,4.556,-59.33,-63.886,36,1544.5,619.8,-0.2433501991,0.6345880795,1,1,-8.334651915,28.1194,-0.5013,2.1945,0.485643362,0.536463964,0.589584553,1.013499727,1.496700825,2.353956191,0.279914006,0.410283313,1.232965243,1.568635594,1.771392911,2.099742291,2.0591242015,1.8640581047,1.6961095655,0.9866800882,0.6681361988,0.4248167421,3.5725257706,2.4373401704,0.8110528709,0.6374966906,0.5645274935,0.4762489208,0.9046144148,0.86485442,1.1114643024,0.9707952623,8,0.061485124,0.082402346,1.3401997205,242.9049,1621.196,872.1759,132262.0773,0.2114,1.8143,1.44146296,0.03823913,0.14412024,-0.9142789,1.36,1.36,1.3992,1.3992,1.5021,1.5021,1.5021,1.5021,1.249987037,0.111203655,-0.25405269,-0.715125237,8,12,10,22,2,0,46,0.148148148,0.222222222,0.185185185,0.407407407,0.037037037,0,0.851851852,1.0567,1.0567,1.0567,1.0567,1.351,1.351,1.491,1.491
C36-D2d-14,D,D2d,-25.2,-47.87,-22.67,36,1290.1,408,-0.1933649634,0.4664583554,1,2,-8.636908973,27.7923,-0.5086,2.1767,0.5524,1.5334,1.5335,2.0276,2.0562,2.1982,0,0.2205,1.9708,1.9708,2.5813,2.5819,1.8102824041,0.6521455589,0.6521030323,0.4931939239,0.4863340142,0.4549176599,0,4.5351473923,0.5074081591,0.5074081591,0.3874016968,0.3873116697,1.0412328197,0.5150922015,2.4509803922,1.5910898966,8,0.064920997,0.083294686,1.283016125,215.246,1543.2,885.6608,135939.7449,0.1362,1.7806,1.43745185,0.03187715,-0.2838133,-0.7989052,1.381,1.381,1.381,1.381,1.4804,1.4804,1.4804,1.4804,1.256896296,0.120245131,0.270332986,-0.851844462,12,0,26,8,8,0,42,0.222222222,0,0.481481481,0.148148148,0.148148148,0,0.777777778,1.0901,1.0901,1.0901,1.0901,1.4645,1.4645,1.4645,1.4645
C36-D6h-15,D,D6h,30.4,-33.8,-64.2,36,1159.1,492.7,-0.2753821694,0.4569809736,1,1,-8.320100285,27.8213,-0.5056,2.1752,0.264608416,0.265256856,1.620666234,1.775569689,1.777022416,1.81164202,0.535208344,0.537146621,1.947916044,2.046508161,2.506415681,2.506991259,3.7791692914,3.7699308326,0.6170301935,0.5631995219,0.5627391028,0.5519854303,1.868431259,1.8616890825,0.5133691481,0.4886371914,0.3989761186,0.398884518,1.3204659804,1.319336308,0.9728493847,0.9710183824,8,0.0653043,0.08332414,1.2759365004,272.7468,1508.588,891.2506,132804.6225,0.1579,1.6774,1.43683333,0.0295502,0.94042232,-0.5596255,1.4057,1.4057,1.4057,1.4057,1.489,1.489,1.489,1.489,1.253537037,0.107609063,-0.800800089,-0.874937104,12,6,0,36,0,0,42,0.222222222,0.111111111,0,0.666666667,0,0,0.777777778,1.0711,1.0711,1.0711,1.0711,1.3662,1.3662,1.3662,1.3662
C38-C2-17,C,C2,22.39,-68.53,-90.92,38,1675,755.4,-0.2797002108,0.8334112469,1,1,-8.255893078,27.6473,-0.5055,2.1626,0.216481216,0.305829447,1.275624099,1.670040047,1.696071424,1.697969422,0.139605147,0.272498447,1.82765035,2.058836564,2.150517399,2.331859857,4.619338428,3.2697963189,0.7839300001,0.5987880361,0.5895978117,0.5889387565,7.1630596829,3.6697456848,0.5471506079,0.4857112106,0.4650043754,0.4288422381,1.0289323258,0.9423032906,1.1173120103,0.9728587517,9,0.071263328,0.088454201,1.2412302861,266.9759,1579.19,886.9212,139990.7432,0.2361,1.8063,1.43745965,0.03804245,-0.2354759,-0.8976228,1.3629,1.3629,1.3634,1.3634,1.4883,1.4922,1.4922,1.4932,1.261650877,0.144344051,0.3524982,-0.98483272,11,12,14,8,8,4,46,0.192982456,0.210526316,0.245614035,0.140350877,0.140350877,0.070175439,0.807017544,1.0579,1.072,1.072,1.0738,1.5293,1.5293,1.5444,1.5444
C38-C2-6,C,C2,37.18,-55.99,-93.17,38,1662.7,828.2,-0.3059737662,0.6644916303,1,1,-8.137454594,27.8256,-0.5048,2.1758,0.188378931,0.337826903,0.664951791,0.872463748,1.350117768,1.484734509,0.277004904,0.281168238,1.656870894,1.850405074,2.094798065,2.127658513,5.3084492766,2.9600958098,1.503868421,1.1461794284,0.7406761274,0.6735210867,3.6100443911,3.5565894893,0.6035473274,0.5404222103,0.4773729825,0.4700002345,0.9836914474,0.8576131455,0.9048095936,0.9014139451,9,0.068690956,0.087802612,1.2782266708,253.4399,1577.35,884.7019,136104.2696,0.2022,1.7783,1.4383386,0.03538085,-0.0645373,-0.6423137,1.3725,1.379,1.379,1.3792,1.4911,1.4911,1.5129,1.5129,1.255124561,0.120353748,0.443044089,-0.631358982,2,22,18,4,9,2,55,0.035087719,0.385964912,0.315789474,0.070175439,0.157894737,0.035087719,0.964912281,1.0333,1.0333,1.1042,1.1042,1.446,1.446,1.5175,1.5175
C38-C2v-15,C,C2v,26.7,-15.7,-42.4,38,1012.2,292.4,-0.3158387818,0.5076029301,1,1,-8.30130894,27.9352,-0.4987,2.18,0.142578087,0.341825656,0.617190473,1.544804533,1.687570451,1.746906537,0.249170124,1.198546626,2.141263741,2.202515801,2.326407626,2.54437569,7.0137004994,2.9254679467,1.6202453598,0.6473310886,0.5925678536,0.5724404705,4.0133222392,0.8343438447,0.4670139324,0.4540262547,0.4298472842,0.3930237205,2.2989663845,1.5767258712,1.8464829496,0.6707148214,9,0.072907955,0.091204252,1.2509506267,188.0259,1527.895,880.5845,133692.6591,0.124,1.7391,1.43766667,0.02908027,0.56373347,-0.0646437,1.3905,1.3905,1.3993,1.3993,1.4995,1.4995,1.4995,1.512,1.249535088,0.092018691,-0.682851849,0.243960213,5,10,22,18,2,0,52,0.087719298,0.175438596,0.385964912,0.315789474,0.035087719,0,0.912280702,1.0338,1.0338,1.0338,1.0338,1.3485,1.3485,1.4304,1.4304
C40-C1-34,C,C1,42.1,-19.3,-61.4,40,1441,535.9,-0.33417017,0.446538179,1,1,-8.16993011,27.6983,-0.5017,2.1641,0.115833943,0.393930351,0.594417524,1.129548626,1.533541378,1.581694824,0.447901284,0.891218963,2.03800303,2.123404756,2.221537971,2.375831883,8.6330480868,2.5385198106,1.6823191774,0.8853093855,0.6520854372,0.6322332126,2.2326348142,1.1220587101,0.4906764049,0.4709417727,0.4501386036,0.4209052026,1.5343684501,1.0754650017,1.0164654349,0.7007124325,10,0.076356765,0.09327604,1.2215818729,259.4226,1627.14,885.5214,139575.8036,0.2469,1.8585,1.43794167,0.03825453,-0.2962893,-0.5695665,1.3504,1.3602,1.3634,1.3654,1.4938,1.4966,1.4995,1.5144,1.258733333,0.130046408,0.268041917,-0.50998073,7,11,18,15,6,3,53,0.116666667,0.183333333,0.3,0.25,0.1,0.05,0.883333333,1.0304,1.0418,1.0462,1.05,1.4969,1.5167,1.5214,1.568
