Name,LUMO ren (output),LUMO ren (output)_forecasted,LUMO ren (output)_residual,Gap_PBE,Gap_B3LYP,avgempty(eV-1),inv((LUMO+4)-LUMO),inv((LUMO+3)-LUMO),inv((LUMO+2)-LUMO),inv((LUMO+1)-LUMO)
C30-C2v-2,-74.57,-55.630114724199814,-18.93988527580018,1206.9,2200.9,0.6755436368,0.5642046591,0.5758696797,1.2611761537,6.3370934477
C32-C2-4,-51.53,-50.243653996931904,-1.2863460030680969,967.4,1959.4,0.5422914329,0.4699419287,0.5721890198,1.0199368203,4.0571932306
C32-D3-6,-56.33,-54.029321965003746,-2.3006780349962526,1488.5,2535.8,0.4793300662,0.585145561,0.5855417562,1.8190633859,1.8237998512
C32-D3h-5,-59.3,-47.508220649052234,-11.791779350947763,1375.6,2541.5,0.5213130569,0.631218535,0.7794865609,3.4872699495,0.0
C34-C2-5,-29.3,-36.222161055984394,6.922161055984393,520.3,1420.6,0.4503589633,0.504069218,0.5171743782,1.1858393019,2.2461580309
C36-C2-12,-20.38,-17.151140258526183,-3.2288597414738156,421.6,1341.7,0.4277169818,0.4837474358,0.5169322957,1.30883243,1.7575988865
C36-D2-2,-59.33,-37.39260780709745,-21.93739219290255,619.8,1544.5,0.6345880795,0.6374966906,0.8110528709,2.4373401704,3.5725257706
C36-D2d-14,-47.87,-27.454015468073642,-20.415984531926355,408.0,1290.1,0.4664583554,0.5074081591,0.5074081591,4.5351473923,0.0
C36-D6h-15,-33.8,-20.944048550175673,-12.855951449824325,492.7,1159.1,0.4569809736,0.4886371914,0.5133691481,1.8616890825,1.868431259
C38-C2-17,-68.53,-49.65084416553877,-18.87915583446123,755.4,1675.0,0.8334112469,0.4857112106,0.5471506079,3.6697456848,7.1630596829
C38-C2-6,-55.99,-41.3290543262424,-14.660945673757602,828.2,1662.7,0.6644916303,0.5404222103,0.6035473274,3.5565894893,3.6100443911
C38-C2v-15,-15.7,-12.969673823192007,-2.730326176807992,292.4,1012.2,0.5076029301,0.4540262547,0.4670139324,0.8343438447,4.0133222392
C40-C1-34,-19.3,-17.66170002202279,-1.638299977977212,535.9,1441.0,0.446538179,0.4709417727,0.4906764049,1.1220587101,2.2326348142
C40-D2-38,-59.9,-39.359481906254146,-20.540518093745852,842.7,1859.2,0.6345471188,0.4683058852,0.4867315244,2.3517672185,4.6853002588
C40-D5d-39,-7.2,-24.982950374882208,17.78295037488221,961.1,1983.4,0.3439556964,0.5337637146,0.5756206982,1.0080395743,0.0
C40-Td-40,-9.2,-10.704695313796854,1.504695313796855,417.3,1352.0,0.3151769919,0.4396316585,0.6994521899,0.7825929172,0.0
C42-C1-44,-2.8,-10.447406100652053,7.647406100652053,331.8,1197.5,0.388276358,0.4331006161,0.4551483341,0.961821188,1.6746426799
C42-C2-41,0.8,-2.6937534821159463,3.493753482115946,210.7,1012.1,0.3645344622,0.4037207086,0.427838155,0.9464868112,1.313639956
C42-Cs-42,7.1,-7.350016692513876,14.450016692513875,249.4,1074.1,0.3675897577,0.4459820256,0.4537036135,0.9908226047,1.1020179447
C42-D3-45,-36.9,-28.681732915335196,-8.218267084664802,859.9,1854.3,0.4647019952,0.5138897611,0.5145194036,1.8741190973,1.87521847
C44-C1-88,-15.2,-20.105374364247773,4.905374364247773,498.0,1317.4,0.4552272514,0.432507353,0.5460983353,0.9057909234,2.8378220082
C44-C2-81,-14.4,-19.482757849146406,5.082757849146406,565.2,1379.4,0.4076483553,0.44525166,0.5313163316,1.1729447687,1.3357589772
C44-C2v-55,-36.7,-38.15714900157966,1.4571490015796584,1099.3,1955.0,0.4735536003,0.5428147457,0.8199444448,0.8417875417,2.4161398334
C44-D2-89,-22.7,-26.119020620340407,3.419020620340408,808.4,1741.4,0.4058065871,0.4542112317,0.6138434863,0.8260921019,1.8850437333
C44-D3-80,-4.3,-10.337108190244006,6.037108190244006,234.6,1011.9,0.3548415772,0.4250263025,0.4254111627,1.0332699075,1.0353464128
C44-D3d-86,-15.9,-18.642642682592644,2.7426426825926438,815.3,1704.4,0.3695408792,0.4753317615,0.6260669119,0.993407384,0.0
C44-T-73,-13.9,-29.70459318135262,15.80459318135262,1150.4,1990.3,0.3138719948,0.5223378762,0.5225603717,0.0,0.0
C46-C1-103,-11.3,-18.586088622241302,7.2860886222413015,505.7,1338.1,0.3757075172,0.4754137825,0.5385719077,0.8890207492,1.2504974135
C46-C2-116,-13.4,-20.168544417940602,6.768544417940602,509.8,1244.3,0.395081916,0.4443622483,0.5746755153,0.7688271001,1.7984056213
C46-C2v-91,-36.85,-80.9160546756213,44.066054675621295,606.0,1546.4,1.4501605134,0.4768417055,0.7570019788,0.9221817136,22.0201055454
C46-Cs-99,-20.9,-24.77380537150129,3.873805371501291,690.9,1522.8,0.4379757236,0.5073760542,0.6427501025,1.1807814295,1.7549985918
C48-C1-193,-47.6,-38.91052612104735,-8.689473878952654,598.0,1451.9,0.7264623778,0.49011146,0.5631687149,1.5518617019,7.0076064344
C48-C2-192,-19.33,-25.124796305528363,5.794796305528365,740.9,1475.8,0.4365409996,0.5422401665,0.5672409447,1.2696485396,1.6836405668
C48-C2-160,-29.61,-33.968914950249804,4.358914950249805,1007.3,1923.9,0.4586813404,0.5302042157,0.7945035816,1.3297686739,1.5326613842
C48-Cs-197,-58.4,-50.913700431920084,-7.4862995680799145,598.5,1490.0,0.800937547,0.4837859764,0.8192967139,0.855776675,9.0539319275
C48-D2-198,-92.1,-65.64741186248341,-26.452588137516585,719.7,1634.1,1.0405783444,0.6053926393,0.6158324825,2.226658597,12.1841403261
C48-D2h-15,-28.46,-25.542137651086527,-2.9178623489134736,596.5,1244.3,0.4915345726,0.7570497153,0.994213966,1.0955768299,1.4784137117
C48-D6d-186,-23.6,-13.940136610439723,-9.659863389560279,713.6,1732.9,0.3822980709,0.5077405372,0.7175325105,0.8777420085,0.0
C50-C1-236,-23.66,-24.034719725997512,0.3747197259975117,382.9,1215.7,0.5181406458,0.5174635918,0.562318595,1.4004983884,2.8699778656
C50-C1-268,-28.9,-31.58707704721492,2.6870770472149204,679.7,1551.2,0.486707237,0.5476442883,0.614963308,1.5063370493,2.1826072507
C50-C2-265,-38.3,-39.73713709087684,1.4371370908768455,722.4,1543.5,0.6196251158,0.5338150101,0.7112362007,1.2714549666,4.8923182409
C50-Cs-262,-18.6,-22.135525274611418,3.535525274611416,555.2,1494.1,0.4106673472,0.5146588605,0.7796885573,0.7856794403,1.4953244084
C50-D3-270,-48.4,-53.138512887703754,4.738512887703756,1345.7,2230.3,0.6249705766,0.6838985039,0.6842388182,2.8989869592,2.912104325
C50-D5h-271,-12.6,-23.205295196008784,10.605295196008784,454.8,1193.9,0.3749922426,0.6437603159,0.6442234357,0.9047857526,0.9056952017
C52-C1-436,-24.1,-31.540675783826778,7.4406757838267765,433.3,1242.0,0.4823870294,0.6159057334,0.6991208571,1.2667102917,2.0886536607
C52-C2-417,-5.358,-7.459077890939621,2.1010778909396217,327.3,1062.3,0.4179024255,0.4577903661,0.4881386992,1.1818098452,1.6335201044
C52-Cs-410,-4.963,-11.261128125448721,6.298128125448721,443.3,1302.2,0.4014341082,0.4579904548,0.6966470339,0.7252035654,1.5229199575
C52-D2-428,-47.9,-35.047056900592445,-12.852943099407554,354.4,1115.8,0.7004955121,0.5740416217,0.7600390412,1.2589926414,6.2896818781
C52-D2d-435,-29.3,-25.16175601731799,-4.13824398268201,379.3,1080.2,0.4936794496,0.6250271902,0.7345342538,3.2492459353,0.0
C54-C1-577-NZ,-24.6,-19.20306294805809,-5.3969370519419115,379.7,1144.0,0.5194130177,0.5546050691,0.6225262767,1.6970855966,2.4380729769
C54-C2-578-NZ,-14.71,-10.1811686839585,-4.528831316041501,279.5,990.8,0.4795744772,0.52409429,0.570665488,1.4990989501,2.0058657975
C56-C1-914-NZ,-10.8,-9.258115301071683,-1.5418846989283175,261.6,1051.2,0.4435021169,0.5122065841,0.6669611322,1.0326185585,1.8858819028
C56-C2-915-NZ,-27.0,-27.293947205722525,0.29394720572252453,690.5,1480.2,0.5476800152,0.6104772871,0.684992763,1.5208850906,2.9226249283
C56-C2v-913-Ch,-22.01,-22.057508586075407,0.047508586075405645,523.7,1264.8,0.493857071,0.5121056866,0.9189148405,0.9707113016,2.496441273
C56-Cs-864-Ch,-45.4,-40.34003111081907,-5.059968889180929,848.1,1727.6,0.6434370103,0.6371947088,1.0706843586,1.328786301,4.4167353583
C56-D2-916-Ch,-32.2,-27.004116228554267,-5.195883771445736,650.5,1521.9,0.4940154554,0.651383369,0.8091442728,1.3574574794,1.9351356127
C56-Td-622-NZ,-13.3,-17.971573173779277,4.671573173779276,882.9,1707.2,0.3736491089,0.7021460583,0.7029736516,0.0,0.0
C58-C1-1201,-6.8,-10.682078005682701,3.8820780056827013,236.0,996.4,0.5542857109,0.4634766483,0.580716293,1.0517892607,4.2658302272
C58-Cs-1196,-0.9,-3.305479982444158,2.405479982444158,200.0,911.2,0.4084113672,0.5343022045,0.584180399,0.9443762386,1.4607069864
C60-C1-1802-NZ,-42.6,-41.561807176405814,-1.038192823594187,752.2,1611.5,0.7532251431,0.5795509938,0.7422622155,1.5623538686,6.7133398642
C60-C2-1807-NZ,-18.4,-16.19870896701756,-2.2012910329824393,523.3,1389.4,0.4256008953,0.5937898468,0.6410367425,1.1393215287,1.1770079907
C60-C2v-1809-NZ,-31.5,-32.32472584793382,0.82472584793382,871.6,1795.6,0.5045619869,0.671971532,0.8070465839,1.2350213797,2.1014718461
C60-C3v-1761-NZ,-29.2,-28.818969974387194,-0.3810300256128052,1034.7,1951.6,0.4538181469,0.6226387209,0.7664819157,1.7454564455,0.0
C60-Cs-1804-NZ,-35.3,-37.29246749518652,1.9924674951865242,952.0,1852.0,0.601893883,0.6349113249,0.8321330764,1.3670231448,3.7584567485
C60-D2h-1810-NZ,-17.2,-16.499442495274995,-0.7005575047250048,554.0,1446.7,0.4177297558,0.5950941625,0.5952448477,0.9207462602,1.3391518912
C60-D5-1794-NZ,-28.42,-28.499635304813133,0.07963530481313086,143.4,887.8,0.8930282055,0.4500918327,0.5119090147,5.8194599155,5.9780128925
C60-Ih,-33.4,-46.195007999083906,12.795007999083907,1592.5,2634.6,0.4100641591,0.8946918723,0.8965078292,0.0,0.0
C60-S4-1692-NZ,-18.9,-5.806814550517615,-13.093185449482384,381.8,1134.8,0.4248341927,0.547307712,0.5936019896,1.6676322285,0.0
C62-C1-2382-NZ,-14.7,-12.190842693221413,-2.5091573067785866,460.7,1206.2,0.4711009837,0.5322407634,0.5872672124,1.4080244179,1.8810148943
C62-C2-2381-NZ,0.11,-4.381105073648325,4.491105073648325,268.8,931.7,0.3918555637,0.5709091433,0.5796618935,0.912324583,1.0757706087
C64-C2-2,-25.5,-47.960257811031624,22.460257811031624,1317.1,1729.1,0.4738440071,0.7289672124,0.8293474597,1.1466589082,1.3801641429
C64-C3v-3,2.1,-13.333696791590949,15.433696791590949,237.3,1043.2,0.4224524882,0.6181880529,0.7530722651,0.7911951543,1.2679396438
C64-D2-5,-53.1,-52.16189142564954,-0.9381085743504585,1203.9,2098.3,0.6923999126,0.8013130707,1.1004460054,5.5458574223,0.0
C66-C2v-4348NZ,-5.0,-8.589739782750843,3.5897397827508435,307.3,1020.2,0.3927223463,0.6626640178,0.731663181,0.7489777629,0.8952948373
C66-Cs-4169-NZ,-24.8,-29.121559177474516,4.321559177474516,914.0,1811.1,0.5058381163,0.7527715184,0.9816429075,1.0693047904,1.7227914834
